symbol,mcap_mm,is_auto,desc
MCK,25183,False,McKesson Corporation
OTIS,25174,False,Otis Worldwide Corporation
MPC,25165,False,Marathon Petroleum Corporation
ANSS,25122,False,ANSYS Inc.
BBY,25053,False,Best Buy Co. Inc.
HPQ,25024,False,HP Inc.
XLNX,24966,False,Xilinx Inc.
TT,24820,False,Trane Technologies plc
MSI,24103,False,Motorola Solutions Inc.
MKC,23985,False,McCormick & Company Incorporated
VRSN,23950,False,VeriSign Inc.
FTV,23916,False,Fortive Corporation
BLL,23850,False,Ball Corporation
VLO,23638,False,Valero Energy Corporation
SWK,23567,False,Stanley Black & Decker Inc.
K,23534,False,Kellogg Company
ALGN,23482,False,Align Technology Inc.
PH,23445,False,Parker-Hannifin Corporation
ADM,23380,False,Archer-Daniels-Midland Company
VFC,23334,False,V.F. Corporation
WMB,23305,False,The Williams Companies Inc.
DHI,23175,False,D.R. Horton Inc.
CARR,23022,False,Carrier Global Corporation
TDG,23010,False,NAN
LYB,22858,False,LyondellBasell Industries N.V.
DLTR,22679,False,Dollar Tree Inc.
ARE,22419,False,Alexandria Real Estate Equities Inc.
ALXN,22411,False,Alexion Pharmaceuticals Inc.
GLW,22288,False,Corning Incorporated
APTV,22207,False,Aptiv PLC
DTE,22009,False,DTE Energy Company
SWKS,21983,False,Skyworks Solutions Inc.
STT,21944,False,State Street Corporation
CERN,21849,False,Cerner Corporation
FLT,21627,False,FLEETCOR Technologies Inc.
INCY,21611,False,Incyte Corporation
FTNT,21505,False,Fortinet Inc.
ODFL,21494,False,Old Dominion Freight Line Inc.
HSY,21474,False,The Hershey Company
HLT,21468,False,Hilton Worldwide Holdings Inc.
WELL,21466,False,Welltower Inc.
NDAQ,21421,False,Nasdaq Inc.
CTVA,21369,False,Corteva Inc.
AME,21314,False,AMETEK Inc.
EIX,21172,False,Edison International
CHD,21114,False,Church & Dwight Co. Inc.
ABC,21105,False,AmerisourceBergen Corporation
BF_B,21033,False,Brown-Forman Corp
CPRT,21017,False,Copart Inc.
AVB,20666,False,AvalonBay Communities Inc.
MTD,20625,False,Mettler-Toledo International Inc.
ETR,20548,False,Entergy Corporation
EQR,20221,False,Equity Residential
PPL,19752,False,PPL Corporation
O,19718,False,Realty Income Corporation
AJG,19705,False,Arthur J. Gallagher & Co.
