date,spy,tsla
20130917,171.070007,166.23
20130918,173.050003,166.218
20130919,172.759995,177.92
20130920,170.720001,183.39
20130923,169.929993,181.11
20130924,169.529999,182.33
20130925,169.039993,185.238
20130926,169.690002,188.64
20130927,168.910004,190.9
20130930,168.009995,193.37
20131001,169.339996,193.0
20131002,169.179993,180.95
20131003,167.619995,173.31
20131004,168.889999,180.98
20131007,167.429993,183.07
20131008,165.479996,174.73
20131009,165.600006,168.78
20131010,169.169998,172.93
20131011,170.259995,178.7
20131014,170.940002,179.72
20131015,169.699997,183.94
20131016,172.070007,183.56
20131017,173.220001,182.802
20131018,174.389999,183.4
20131021,174.399994,172.6
20131022,175.410004,171.54
20131023,174.570007,164.5
20131024,175.149994,173.15
20131025,175.949997,169.66
20131028,176.229996,162.86
20131029,177.169998,164.47
20131030,176.289993,159.22
20131031,175.789993,159.94
20131101,176.210007,162.17
20131104,176.830002,175.2
20131105,176.270004,176.81
20131106,177.169998,151.16
20131107,174.929993,139.772
20131108,177.289993,137.95
20131111,177.320007,144.698
20131112,176.960007,137.8
20131113,178.380005,138.7
20131114,179.270004,137.6
20131115,180.050003,135.45
20131118,179.419998,121.58
20131119,179.029999,126.09
20131120,178.470001,121.11
20131121,179.910004,122.1
20131122,180.809998,121.38
20131125,180.630005,120.84
20131126,180.679993,120.5
20131127,181.119995,126.94
20131129,181.0,127.28
20131202,180.529999,124.17
20131203,179.75,144.7
20131204,179.729996,138.95
20131205,178.940002,140.48
20131206,180.940002,137.36
20131209,181.399994,141.6
20131210,180.75,142.19
20131211,178.720001,139.65
20131212,178.130005,147.47
20131213,178.110001,147.654
20131216,179.220001,147.94
20131217,178.649994,152.46
20131218,181.699997,147.98
20131219,181.490005,140.72
20131220,181.559998,143.24
20131223,182.529999,143.55
20131224,182.929993,151.41
20131226,183.860001,155.5
20131227,183.850006,151.12
20131230,183.820007,152.44
20131231,184.690002,150.429
20140102,182.919998,150.1
20140103,182.889999,149.56
20140106,182.360001,147.0
20140107,183.479996,149.36
20140108,183.520004,151.28
20140109,183.639999,147.53
20140110,184.139999,145.7199
20140113,181.690002,139.34
20140114,183.669998,161.27
20140115,184.660004,164.13
20140116,184.419998,170.97
20140117,183.639999,170.01
20140121,184.179993,176.68
20140122,184.300003,178.56
20140123,182.789993,181.5
20140124,178.889999,174.6
20140127,178.009995,169.62
20140128,179.070007,178.38
20140129,177.350006,175.23
20140130,179.229996,182.84
20140131,178.179993,181.41
20140203,174.169998,177.11
20140204,175.389999,178.73
20140205,175.169998,174.42
20140206,177.479996,178.38
20140207,179.679993,186.53
20140210,180.009995,196.56
20140211,181.979996,196.62
20140212,182.070007,195.32
20140213,183.009995,199.63
20140214,184.020004,198.23
20140218,184.240005,203.7
20140219,183.020004,193.64
20140220,184.100006,209.97
20140221,183.889999,209.6
20140224,184.910004,217.65
20140225,184.839996,248.0
20140226,184.850006,253.0
20140227,185.820007,252.54
20140228,186.289993,244.81
20140303,184.979996,250.56
20140304,187.580002,254.84
20140305,187.75,252.66
20140306,188.179993,252.94
20140307,188.259995,246.21
20140310,188.160004,238.84
20140311,187.229996,234.41
20140312,187.279999,241.49
20140313,185.179993,237.79
20140314,184.660004,230.97
20140317,186.330002,233.98
20140318,187.660004,240.04
20140319,186.660004,235.84
20140320,187.75,234.91
20140321,186.199997,228.89
20140324,185.429993,220.17
20140325,186.309998,220.44
20140326,184.970001,212.96
20140327,184.580002,207.32
20140328,185.490005,212.37
20140331,187.009995,208.45
20140401,188.25,216.97
20140402,188.880005,230.29
20140403,188.630005,225.4
20140404,186.399994,212.225
20140407,184.339996,207.52
20140408,185.100006,215.46
20140409,187.089996,216.93
20140410,183.160004,204.19
20140411,181.509995,203.78
20140414,182.940002,198.09
20140415,184.199997,193.91
20140416,186.130005,199.11
20140417,186.389999,198.12
20140421,187.039993,204.38
20140422,187.889999,218.64
20140423,187.449997,207.99
20140424,187.830002,207.86
20140425,186.289993,199.85
20140428,186.880005,198.51
20140429,187.75,206.92
20140430,188.309998,207.89
20140501,188.330002,207.73
20140502,188.059998,210.91
20140505,188.419998,216.61
20140506,186.779999,207.28
20140507,187.880005,201.35
20140508,187.679993,178.59
20140509,187.960007,182.26
20140512,189.789993,184.67
20140513,189.960007,190.16
20140514,189.059998,190.62
20140515,187.399994,188.59
20140516,188.050003,191.56
20140519,188.740005,196.09
20140520,187.550003,195.3
20140521,189.130005,199.45
20140522,189.589996,204.88
20140523,190.350006,207.3
20140527,191.520004,211.56
20140528,191.380005,210.24
20140529,192.369995,210.24
20140530,192.679993,207.77
20140602,192.899994,204.7
20140603,192.800003,204.94
20140604,193.190002,203.99
20140605,194.449997,206.9
20140606,195.380005,208.171
20140609,195.580002,205.31
20140610,195.600006,202.3
20140611,194.919998,204.47
20140612,193.539993,203.52
20140613,194.130005,206.42
20140616,194.289993,224.61
20140617,194.830002,231.67
20140618,196.259995,227.12
20140619,196.479996,227.79
20140620,195.940002,229.59
20140623,195.880005,237.22
20140624,194.699997,232.5
20140625,195.580002,236.891
20140626,195.440002,235.6
20140627,195.820007,239.06
20140630,195.720001,240.06
20140701,197.029999,239.72
20140702,197.229996,229.425
20140703,198.199997,229.25
20140707,197.509995,222.66
20140708,196.240005,219.07
20140709,197.119995,223.06
20140710,196.339996,219.46
20140711,196.610001,218.13
20140714,197.600006,226.7
20140715,197.229996,219.58
20140716,197.960007,217.16
20140717,195.710007,215.4
